因子名称,IC均值,IC标准差,IR值,t统计量,p值,多空收益,IC有效点数,IC总日数,IC缺样比例,IC模式,筛选模式,日均样本,样本中位数,样本P25,窗口天数,日最小样本,整体样本量,整体回退说明,主要板块,主要板块占比,次要板块,次要板块占比,主要板块IC,次要板块IC,板块警告,板块建议
当日回调,-0.006,0.224,-0.026,-0.352,0.725,0.01,180,180,0.0,daily,高样本量模式,25.683,24.0,18.0,1,5,4623,,创业板,1.0,,0.0,0.01,,,仅覆盖创业板（4623条）样本，建议在该板块内评估；创业板样本占比100.0%，注意板块集中风险
机构持股比例(%),0.011,0.234,0.046,0.618,0.537,0.008,180,180,0.0,daily,高样本量模式,25.683,24.0,18.0,1,5,4623,,创业板,1.0,,0.0,0.031,,,仅覆盖创业板（4623条）样本，建议在该板块内评估；创业板样本占比100.0%，注意板块集中风险
流通市值(元),0.039,0.245,0.16,2.145,0.033,0.006,180,180,0.0,daily,高样本量模式,25.683,24.0,18.0,1,5,4623,,创业板,1.0,,0.0,0.051,,,仅覆盖创业板（4623条）样本，建议在该板块内评估；创业板样本占比100.0%，注意板块集中风险
财务投资机构合计（投资公司+私募+集合理财+其他理财+员工持股+信托+QFII+券商+基金）,0.033,0.232,0.14,1.88,0.062,0.013,180,180,0.0,daily,高样本量模式,25.683,24.0,18.0,1,5,4623,,创业板,1.0,,0.0,0.025,,,仅覆盖创业板（4623条）样本，建议在该板块内评估；创业板样本占比100.0%，注意板块集中风险
朋友合计（企业大股东（大非）+社保+保险）,-0.014,0.235,-0.061,-0.822,0.412,0.006,180,180,0.0,daily,高样本量模式,25.683,24.0,18.0,1,5,4623,,创业板,1.0,,0.0,0.018,,,仅覆盖创业板（4623条）样本，建议在该板块内评估；创业板样本占比100.0%，注意板块集中风险
十大流通个人持股合计,-0.021,0.227,-0.091,-1.227,0.221,-0.012,180,180,0.0,daily,高样本量模式,25.683,24.0,18.0,1,5,4623,,创业板,1.0,,0.0,-0.045,,,仅覆盖创业板（4623条）样本，建议在该板块内评估；创业板样本占比100.0%，注意板块集中风险
高管/大股东持股比例大非,-0.021,0.221,-0.096,-1.282,0.202,-0.012,179,180,0.006,daily,高样本量模式,25.683,24.0,18.0,1,5,4623,,创业板,1.0,,0.0,-0.049,,,仅覆盖创业板（4623条）样本，建议在该板块内评估；创业板样本占比100.0%，注意板块集中风险
普通散户持股比例,-0.013,0.237,-0.056,-0.75,0.454,-0.006,180,180,0.0,daily,高样本量模式,25.683,24.0,18.0,1,5,4623,,创业板,1.0,,0.0,-0.016,,,仅覆盖创业板（4623条）样本，建议在该板块内评估；创业板样本占比100.0%，注意板块集中风险
企业大股东大非（包含国资）,-0.001,0.23,-0.006,-0.082,0.934,0.008,179,180,0.006,daily,高样本量模式,25.683,24.0,18.0,1,5,4623,,创业板,1.0,,0.0,0.024,,,仅覆盖创业板（4623条）样本，建议在该板块内评估；创业板样本占比100.0%，注意板块集中风险
企业大股东（包含国资）（小非）,-0.002,0.214,-0.007,-0.088,0.93,-0.016,152,180,0.156,daily,高样本量模式,25.683,24.0,18.0,1,5,4623,,创业板,1.0,,0.0,-0.007,,,仅覆盖创业板（4623条）样本，建议在该板块内评估；创业板样本占比100.0%，注意板块集中风险
前10大流通股东持股比例合计,-0.009,0.254,-0.034,-0.454,0.651,0.004,180,180,0.0,daily,高样本量模式,25.683,24.0,18.0,1,5,4623,,创业板,1.0,,0.0,0.006,,,仅覆盖创业板（4623条）样本，建议在该板块内评估；创业板样本占比100.0%，注意板块集中风险
十大流通股东小非合计,-0.008,0.217,-0.037,-0.492,0.623,-0.012,180,180,0.0,daily,高样本量模式,25.683,24.0,18.0,1,5,4623,,创业板,1.0,,0.0,0.009,,,仅覆盖创业板（4623条）样本，建议在该板块内评估；创业板样本占比100.0%，注意板块集中风险
十大流通股东大非合计,-0.008,0.249,-0.032,-0.433,0.665,0.004,180,180,0.0,daily,高样本量模式,25.683,24.0,18.0,1,5,4623,,创业板,1.0,,0.0,0.003,,,仅覆盖创业板（4623条）样本，建议在该板块内评估；创业板样本占比100.0%，注意板块集中风险
十大流通机构大非,0.006,0.237,0.026,0.353,0.725,0.009,180,180,0.0,daily,高样本量模式,25.683,24.0,18.0,1,5,4623,,创业板,1.0,,0.0,0.025,,,仅覆盖创业板（4623条）样本，建议在该板块内评估；创业板样本占比100.0%，注意板块集中风险
十大流通机构小非,0.007,0.211,0.034,0.453,0.651,-0.006,180,180,0.0,daily,高样本量模式,25.683,24.0,18.0,1,5,4623,,创业板,1.0,,0.0,0.015,,,仅覆盖创业板（4623条）样本，建议在该板块内评估；创业板样本占比100.0%，注意板块集中风险
基金持仓占比,0.019,0.238,0.082,1.099,0.273,0.006,180,180,0.0,daily,高样本量模式,25.683,24.0,18.0,1,5,4623,,创业板,1.0,,0.0,0.025,,,仅覆盖创业板（4623条）样本，建议在该板块内评估；创业板样本占比100.0%，注意板块集中风险
QFII持仓占比,0.006,0.207,0.03,0.293,0.77,-0.014,94,180,0.478,daily,高样本量模式,25.683,24.0,18.0,1,5,4623,,创业板,1.0,,0.0,-0.015,,,仅覆盖创业板（4623条）样本，建议在该板块内评估；创业板样本占比100.0%，注意板块集中风险
持有基金家数,0.027,0.24,0.113,1.516,0.131,0.003,180,180,0.0,daily,高样本量模式,25.683,24.0,18.0,1,5,4623,,创业板,1.0,,0.0,0.039,,,仅覆盖创业板（4623条）样本，建议在该板块内评估；创业板样本占比100.0%，注意板块集中风险
